subtype,test_n,test_ev,ibs_hss,c_hss,status,ibs_independent,ibs_delta_hss_minus_ind,hss_better,condition,fold
del13q,93,15,0.1241,0.772,ok,0.1336,-0.0096,True,random,4
del17p,24,10,0.2313,0.636,ok,0.177,0.0543,False,random,4
hyperdiploid,114,21,0.096,0.777,ok,0.0885,0.0075,False,random,4
amp1q,67,19,0.1653,0.745,ok,0.1866,-0.0213,True,lambda0,0
del1p,25,3,0.1274,0.52,ok,0.1427,-0.0153,True,lambda0,0
del13q,94,23,0.123,0.751,ok,0.1209,0.0021,False,lambda0,0
del17p,20,7,0.1492,0.8,ok,0.1911,-0.042,True,lambda0,0
hyperdiploid,114,23,0.134,0.706,ok,0.157,-0.023,True,lambda0,0
amp1q,58,19,0.1788,0.72,ok,0.1804,-0.0016,True,lambda0,1
del1p,32,10,0.1618,0.677,ok,0.1401,0.0216,False,lambda0,1
del13q,94,24,0.1928,0.676,ok,0.1889,0.0039,False,lambda0,1
del17p,19,8,0.234,0.465,ok,0.2342,-0.0003,True,lambda0,1
hyperdiploid,121,28,0.1323,0.727,ok,0.1384,-0.0061,True,lambda0,1
amp1q,68,17,0.1057,0.825,ok,0.1179,-0.0121,True,lambda0,2
del1p,27,11,0.1724,0.738,ok,0.1953,-0.0228,True,lambda0,2
del13q,92,23,0.1194,0.824,ok,0.128,-0.0085,True,lambda0,2
del17p,33,12,0.1723,0.716,ok,0.2307,-0.0584,True,lambda0,2
hyperdiploid,116,22,0.1021,0.796,ok,0.1013,0.0008,False,lambda0,2
amp1q,76,17,0.0964,0.858,ok,0.1148,-0.0184,True,lambda0,3
del1p,47,16,,0.645,ok,,,False,lambda0,3
del13q,98,21,0.1565,0.788,ok,0.2138,-0.0573,True,lambda0,3
del17p,29,8,0.1415,0.741,ok,0.1118,0.0297,False,lambda0,3
hyperdiploid,108,25,0.1314,0.733,ok,0.1451,-0.0137,True,lambda0,3
amp1q,66,18,0.1931,0.749,ok,0.2048,-0.0117,True,lambda0,4
del1p,26,7,0.1883,0.647,ok,0.1759,0.0124,False,lambda0,4
del13q,96,23,0.1637,0.777,ok,0.1549,0.0088,False,lambda0,4
del17p,16,4,0.0592,0.882,ok,0.0985,-0.0393,True,lambda0,4
hyperdiploid,108,23,0.1516,0.742,ok,0.1399,0.0117,False,lambda0,4
amp1q,67,19,0.1791,0.734,ok,0.1866,-0.0075,True,lambda_huge,0
del1p,25,3,0.1417,0.48,ok,0.1427,-0.001,True,lambda_huge,0
del13q,94,23,0.1301,0.747,ok,0.1209,0.0092,False,lambda_huge,0
del17p,20,7,0.1567,0.811,ok,0.1911,-0.0344,True,lambda_huge,0
hyperdiploid,114,23,0.1435,0.701,ok,0.157,-0.0135,True,lambda_huge,0
amp1q,58,19,0.177,0.725,ok,0.1804,-0.0034,True,lambda_huge,1
del1p,32,10,0.1995,0.682,ok,0.1401,0.0594,False,lambda_huge,1
del13q,94,24,0.2011,0.679,ok,0.1889,0.0122,False,lambda_huge,1
del17p,19,8,0.217,0.606,ok,0.2342,-0.0173,True,lambda_huge,1
hyperdiploid,121,28,0.1339,0.732,ok,0.1384,-0.0045,True,lambda_huge,1
amp1q,68,17,0.103,0.839,ok,0.1179,-0.0149,True,lambda_huge,2
del1p,27,11,0.1429,0.77,ok,0.1953,-0.0523,True,lambda_huge,2
del13q,92,23,0.1134,0.859,ok,0.128,-0.0145,True,lambda_huge,2
del17p,33,12,0.1482,0.753,ok,0.2307,-0.0826,True,lambda_huge,2
hyperdiploid,116,22,0.0944,0.833,ok,0.1013,-0.007,True,lambda_huge,2
amp1q,76,17,0.0988,0.843,ok,0.1148,-0.016,True,lambda_huge,3
del1p,47,16,,0.647,ok,,,False,lambda_huge,3
del13q,98,21,0.1578,0.788,ok,0.2138,-0.0559,True,lambda_huge,3
del17p,29,8,0.1445,0.741,ok,0.1118,0.0327,False,lambda_huge,3
hyperdiploid,108,25,0.1309,0.732,ok,0.1451,-0.0141,True,lambda_huge,3
amp1q,66,18,0.1936,0.704,ok,0.2048,-0.0112,True,lambda_huge,4
del1p,26,7,0.1621,0.691,ok,0.1759,-0.0138,True,lambda_huge,4
del13q,96,23,0.1537,0.763,ok,0.1549,-0.0012,True,lambda_huge,4
del17p,16,4,0.0785,0.912,ok,0.0985,-0.02,True,lambda_huge,4
hyperdiploid,108,23,0.1379,0.749,ok,0.1399,-0.002,True,lambda_huge,4
