patient_id	file_id	file_name	sample_id
MMRF_1112	d52c789a-742b-4262-9d9b-b5b712f28270	8e3bc907-a161-4e28-a17a-107828d74c4a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1112_3_BM_CD138pos
MMRF_1128	103bbb57-4c78-4f59-8f51-7e0b835d0567	9af7b6de-b756-4c2f-9e8e-15fca3cd1f41.rna_seq.augmented_star_gene_counts.tsv	MMRF_1128_1_BM_CD138pos
MMRF_1129	8e54b3bb-9667-407f-801f-d2e36ee65c35	80d25120-2953-4d03-9e9c-bccdfc1c2360.rna_seq.augmented_star_gene_counts.tsv	MMRF_1129_1_BM_CD138pos
MMRF_1130	56f0aafa-6db8-47e7-a986-6cf364204da0	b696aae3-7ab8-454c-b7d3-2763fb31dac8.rna_seq.augmented_star_gene_counts.tsv	MMRF_1130_1_BM_CD138pos
MMRF_1131	6cc28552-db4f-4383-b963-d8a8a97b727e	045959f7-9d02-47c8-8f40-d485ef3f7d79.rna_seq.augmented_star_gene_counts.tsv	MMRF_1131_2_BM_CD138pos
MMRF_1137	a980dfb9-72eb-4c2b-889c-2116b73978ba	19adb708-5266-4c21-9ae2-183b8c2f1d1e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1137_1_BM_CD138pos
MMRF_1148	1b6cc363-2bae-4025-b038-783942ff9655	b3a50d05-296c-45f2-b084-07df589788b5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1148_1_BM_CD138pos
MMRF_1151	3309b1c5-86ee-4f63-9f67-df565295b12d	1d08f6ce-b5ef-4125-ac68-c5fc2524f9ea.rna_seq.augmented_star_gene_counts.tsv	MMRF_1151_1_BM_CD138pos
MMRF_1152	0fad3156-5c53-4a82-a7f7-9c15b0961264	2c0edf85-f03f-4281-a159-b1974ac37907.rna_seq.augmented_star_gene_counts.tsv	MMRF_1152_1_BM_CD138pos
MMRF_1153	08973ff6-8e72-4ea3-933b-78377ba12860	ce75fff3-ca44-4e42-a9f0-5c0cfb96dd4c.rna_seq.augmented_star_gene_counts.tsv	MMRF_1153_1_BM_CD138pos
MMRF_1157	de258bf4-1b44-4dec-b6f2-fdcc523ee013	575c6903-4808-47f7-9cf1-3b02634e26a9.rna_seq.augmented_star_gene_counts.tsv	MMRF_1157_1_BM_CD138pos
MMRF_1159	fe3aec57-d6e6-4c97-9ebf-64645c7b22c9	75922ba6-0f19-4340-b66b-991670fbe1c6.rna_seq.augmented_star_gene_counts.tsv	MMRF_1159_1_BM_CD138pos
MMRF_1164	4db1d8b0-2ebe-40b7-9409-1f00b88d998a	53f3b6b1-9ec8-4e00-a530-d6df5ce49836.rna_seq.augmented_star_gene_counts.tsv	MMRF_1164_1_BM_CD138pos
MMRF_1167	ac18c3b8-27e9-49fa-88c9-d04aafe84955	1291f3fa-63ae-4f16-a8f5-bed07163c980.rna_seq.augmented_star_gene_counts.tsv	MMRF_1167_1_BM_CD138pos
MMRF_1169	52ec2632-15e9-4e7d-9de6-0c8c34c5fafa	89d9e982-5171-4e3d-b32e-6eec24ec6792.rna_seq.augmented_star_gene_counts.tsv	MMRF_1169_1_BM_CD138pos
MMRF_1171	60c411e7-98fc-44c5-89a5-f5a87d2ed3f2	c110efc5-56c5-4cd5-85a4-b55ba571b854.rna_seq.augmented_star_gene_counts.tsv	MMRF_1171_1_BM_CD138pos
MMRF_1178	f49962b0-50b6-444c-9f74-075f7837a80e	910e0ba2-6c4c-4e8a-9604-9ab0d4bfa0ff.rna_seq.augmented_star_gene_counts.tsv	MMRF_1178_1_BM_CD138pos
MMRF_1179	3870ad73-710d-445b-a98b-a3b25e2c2962	631e2f94-7639-4be4-9b40-463a01ebd0cb.rna_seq.augmented_star_gene_counts.tsv	MMRF_1179_1_BM_CD138pos
MMRF_1180	be3f10a1-6f87-4a53-b9b1-4444dd51c3c4	69c1ea6c-4dab-4936-9a8d-787a483d4f1a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1180_1_BM_CD138pos
MMRF_1184	0dbbd0a0-25ce-4762-bb88-48d10547ece9	ca6484f4-ad6d-403e-b96a-22d16e954b16.rna_seq.augmented_star_gene_counts.tsv	MMRF_1184_1_BM_CD138pos
MMRF_1185	0d055773-bec3-4d87-9346-4e44ab6532c5	1d82de16-1d45-4246-be10-377bbb3247cc.rna_seq.augmented_star_gene_counts.tsv	MMRF_1185_1_BM_CD138pos
MMRF_1188	ce43e518-5dba-40b4-bdf2-f9a898d89f8f	9eacb092-8ef3-4125-a598-be3b53e9073a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1188_1_BM_CD138pos
MMRF_1189	7ae15468-9a25-4441-8a1a-a064b0550db1	e304b873-f434-4d3b-ad43-cca258c1a250.rna_seq.augmented_star_gene_counts.tsv	MMRF_1189_1_BM_CD138pos
MMRF_1193	b4aab2c7-9070-4c7c-a4ae-2fbd2f272cfe	8f224a1a-49bc-45e6-b084-e38426083a48.rna_seq.augmented_star_gene_counts.tsv	MMRF_1193_3_BM_CD138pos
MMRF_1195	33cc4be6-831d-4e28-bcdf-aaeac6c24aac	02e93707-73c9-4498-bee2-07ac1cd668aa.rna_seq.augmented_star_gene_counts.tsv	MMRF_1195_1_BM_CD138pos
MMRF_1201	df7ce59b-7b3e-490f-b5d6-fcb75e8a553a	22c9bc8f-dd20-41b4-99d9-b9887ef8f780.rna_seq.augmented_star_gene_counts.tsv	MMRF_1201_1_BM_CD138pos
MMRF_1202	1433cc4d-c738-4392-9deb-f41534ab6dae	2df83406-2156-4694-a977-1273112d5e8e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1202_1_BM_CD138pos
MMRF_1205	b9e7f00f-3e23-4c44-9678-504c79b6444c	4d243319-c682-40d6-a5f8-9ca89fdba2e1.rna_seq.augmented_star_gene_counts.tsv	MMRF_1205_2_BM_CD138pos
MMRF_1210	adcfc856-990b-40fc-8f1e-67dfc2343fb7	24c81631-a801-4f41-a60f-e55626d720d0.rna_seq.augmented_star_gene_counts.tsv	MMRF_1210_1_BM_CD138pos
MMRF_1211	6e7d1d71-f10b-4c25-9c22-c4f7143a3f65	bcd93097-adf9-40ca-b313-7309c93fdfe7.rna_seq.augmented_star_gene_counts.tsv	MMRF_1211_1_BM_CD138pos
MMRF_1212	629212d1-7773-4eca-bb96-f8a2a31575d2	b55524be-0249-42b3-b15f-5526e3c9e41a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1212_1_BM_CD138pos
MMRF_1216	48da2185-3343-4919-9c2e-e4a00201bdff	17539059-dfee-4e54-b746-d62a1cb5a5f4.rna_seq.augmented_star_gene_counts.tsv	MMRF_1216_1_BM_CD138pos
MMRF_1219	14f05708-b9ab-42ee-930d-6030eb17384c	95d3bf0b-9228-4eeb-94c6-9131d5da77ad.rna_seq.augmented_star_gene_counts.tsv	MMRF_1219_2_BM_CD138pos
