comparison,nri,nri_events,nri_nonevents,idi,n_events,n_nonevents,horizon
clinical+omics_vs_clinical,0.3976,0.16,0.2376,0.1065,25,101,24.0
clinical+cytogenetics+omics_vs_clinical+cytogenetics,0.2887,0.16,0.1287,0.0885,25,101,24.0
