feature_set,n_features,test_cindex,ci_low,ci_high,n_patients,n_test,events_test,analysis_type
clinical,5,0.7355,0.648,0.8207,726,182,38,scientific_matched_cohort
clinical+cytogenetics,12,0.7285,0.6633,0.7965,726,182,38,scientific_matched_cohort
clinical+omics,21,0.782,0.7141,0.8415,726,182,38,scientific_matched_cohort
clinical+cytogenetics+omics,28,0.7757,0.7129,0.8338,726,182,38,scientific_matched_cohort
clinical+programs,15,0.7637,0.6653,0.8363,726,182,38,scientific_matched_cohort
clinical+cytogenetics+programs,22,0.7572,0.669,0.8291,726,182,38,scientific_matched_cohort
