feature,coef,abs_coef,hazard_ratio
iss_3,0.28652241122759925,0.28652241122759925,1.3317880145640661
age,0.26204452567628195,0.26204452567628195,1.2995844060157278
sex_M,0.11119724400037818,0.11119724400037818,1.1176153280335515
iss_2,0.10783315580233417,0.10783315580233417,1.1138618884892308
line_of_therapy,0.09173489197979111,0.09173489197979111,1.0960742054975041
