model,val_cindex,test_cindex,test_cindex_ci_low,test_cindex_ci_high,ibs_proxy_test,n_test,events_test
aft,0.7711088504577823,0.7817312798725438,0.6584955492660322,0.885146474857686,0.25624717315393336,148,19
fht,0.7622923024754154,0.7801380775358471,0.6571716447382095,0.8919097886583046,0.25141139293608666,148,19
cox,0.790776534418447,0.7742963356346256,0.660130552181617,0.8838523923557222,0.2577610296484612,148,19
opsd_cox,0.7812817904374364,0.7716409984067977,0.6484488807751992,0.8837896613190731,0.25605955076957027,148,19
opsd_fht,0.5425567989148864,0.4944237918215613,0.3688185954872433,0.6240343554517379,0.29401984427171174,148,19
opsd_aft,0.46151237707697523,0.47796070100902815,0.3548177246813826,0.5892493505821886,0.2941769396614871,148,19
subtype_event_rate,0.6425907087148186,0.4726500265533723,0.30866054017640826,0.6352340261990733,0.2791419044928458,148,19
