comparison,n_splits,mean_delta,sd_delta,ci_low,ci_high,frac_splits_improved
clinical+omics_vs_clinical,50,0.0689,0.0437,-0.0152,0.1524,0.94
clinical+cyto+omics_vs_clinical,50,0.0632,0.0454,-0.0238,0.1464,0.94
