threshold,treat_all,treat_none,clinical,clinical+cytogenetics,clinical+omics,clinical+cytogenetics+omics,clinical+programs,clinical+cytogenetics+programs
0.1,0.0668,0.0,0.0769,0.086,0.0937,0.0929,0.079,0.0919
0.2,-0.0498,0.0,0.0509,0.037,0.0635,0.0495,0.0519,0.0517
0.3,-0.1998,0.0,0.0063,0.0152,0.0376,0.0414,0.0306,0.0283
0.4,-0.3997,0.0,0.0,0.0055,0.007,0.0229,0.0147,0.0092
0.5,-0.6797,0.0,0.0,0.011,0.011,0.0055,0.0055,0.0055
