comparison,cindex_model_a,cindex_model_b,delta_cindex,delta_ci_low,delta_ci_high,p_bootstrap,claim
clinical+omics_vs_clinical,0.782,0.7355,0.0466,-0.0382,0.1366,0.1485,hypothesis_generating_improvement
clinical+cyto+omics_vs_clinical,0.7757,0.7355,0.0402,-0.052,0.1319,0.207,hypothesis_generating_improvement
clinical+cyto+omics_vs_clinical+cyto,0.7757,0.7285,0.0473,-0.0168,0.1148,0.075,hypothesis_generating_improvement
clinical+programs_vs_clinical,0.7637,0.7355,0.0283,-0.0742,0.1319,0.301,hypothesis_generating_improvement
clinical+cyto+programs_vs_clinical+cyto,0.7572,0.7285,0.0287,-0.0476,0.1013,0.2295,hypothesis_generating_improvement
residual_total_vs_clinical,0.775,0.7355,0.0396,-0.054,0.133,0.213,hypothesis_generating_improvement
