model,val_cindex,test_cindex,test_cindex_ci_low,test_cindex_ci_high,ibs_proxy_test,n_test,events_test
cox,0.7195659545608681,0.8013807753584705,0.6970647071666394,0.8792505374302192,0.2545978260057792,148,19
opsd_cox,0.6819260766361478,0.7578332448220924,0.6415137991890644,0.8685908221517086,0.2575945212532123,148,19
aft,0.6269922007460156,0.7265002655337228,0.6180181983581486,0.8355787522019659,0.2571133223770476,148,19
fht,0.6171583587656833,0.6590546999468933,0.5300411014214405,0.8090068975506454,0.26445947041189033,148,19
subtype_event_rate,0.6449643947100712,0.4867233138608603,0.3141801378830419,0.6528383388772294,0.27767663715945723,148,19
