model,val_cindex,test_cindex,test_cindex_ci_low,test_cindex_ci_high,ibs_proxy_test,n_test,events_test
subtype_event_rate,0.653114186851211,0.6230569948186528,0.4863379169616789,0.7616184634670486,0.203045006610386,31,23
cox,0.4982698961937716,0.538860103626943,0.4117022988094812,0.7159732142857143,0.2680994251021743,31,23
opsd_cox,0.4982698961937716,0.538860103626943,0.4117022988094812,0.7159732142857143,0.2680994251021743,31,23
opsd_fht,0.5536332179930796,0.45595854922279794,0.28146022727272724,0.5538399587655435,0.3078308773173288,31,23
fht,0.5536332179930796,0.45595854922279794,0.28146022727272724,0.5538399587655435,0.3078308773173288,31,23
opsd_aft,0.5311418685121108,0.4533678756476684,0.277700487012987,0.5594428516203853,0.3196558002324185,31,23
aft,0.5311418685121108,0.4533678756476684,0.277700487012987,0.5594428516203853,0.3196558002324185,31,23
