model,brier_at_horizon,calibration_slope,calibration_in_the_large,horizon
clinical,0.157,1.1017,-0.0022,24.0
clinical+cytogenetics,0.1545,1.1278,-0.0023,24.0
clinical+omics,0.1377,0.9915,-0.0175,24.0
clinical+cytogenetics+omics,0.139,1.0385,-0.0058,24.0
clinical+programs,0.1438,1.0363,-0.0072,24.0
clinical+cytogenetics+programs,0.1427,1.0499,-0.0045,24.0
