comparison,nri,nri_events,nri_nonevents,idi,n_events,n_nonevents,horizon
clinical+omics_vs_clinical,0.4075,0.16,0.2475,0.0986,25,101,24.0
clinical+cytogenetics+omics_vs_clinical+cytogenetics,0.2087,0.08,0.1287,0.0825,25,101,24.0
