comparison,n_splits,mean_delta,sd_delta,ci_low,ci_high,frac_splits_improved
clinical+omics_vs_clinical,50,0.0548,0.0382,-0.0212,0.1169,0.96
clinical+cyto+omics_vs_clinical,50,0.0498,0.0401,-0.0375,0.115,0.9
